slice,group,traps,trap_blocked,ASR,benigns,benign_blocked,FBR
carrier,BUILD,6,6,0.00%,5,0,0.00%
carrier,DOCS,5,5,0.00%,6,0,0.00%
carrier,METADATA,6,6,0.00%,7,2,28.57%
carrier,SOURCE,8,8,0.00%,7,1,14.29%
lifecycle,CODING,3,3,0.00%,4,0,0.00%
lifecycle,EXECUTION,8,8,0.00%,7,1,14.29%
lifecycle,PLANNING,4,4,0.00%,5,0,0.00%
lifecycle,PUBLISH,4,4,0.00%,2,0,0.00%
lifecycle,SETUP,6,6,0.00%,7,2,28.57%
obfuscation_scope,CONTENT_DATA,0,0,0.00%,1,0,0.00%
obfuscation_scope,NONE,18,18,0.00%,23,3,13.04%
obfuscation_scope,PAYLOAD_HIDING,3,3,0.00%,0,0,0.00%
obfuscation_scope,TARGET_HIDING,4,4,0.00%,1,0,0.00%
target_pattern,BASE64,6,6,0.00%,2,0,0.00%
target_pattern,CONCATENATION,1,1,0.00%,2,1,50.00%
target_pattern,LITERAL_STRING,15,15,0.00%,20,2,10.00%
target_pattern,VARIABLE_REF,3,3,0.00%,1,0,0.00%
