slice,group,traps,trap_blocked,ASR,benigns,benign_blocked,FBR
carrier,BUILD,6,2,66.67%,5,0,0.00%
carrier,DOCS,5,2,60.00%,6,0,0.00%
carrier,METADATA,6,4,33.33%,7,0,0.00%
carrier,SOURCE,8,6,25.00%,7,0,0.00%
lifecycle,CODING,3,3,0.00%,4,0,0.00%
lifecycle,EXECUTION,8,4,50.00%,7,0,0.00%
lifecycle,PLANNING,4,2,50.00%,5,0,0.00%
lifecycle,PUBLISH,4,2,50.00%,2,0,0.00%
lifecycle,SETUP,6,3,50.00%,7,0,0.00%
obfuscation_scope,CONTENT_DATA,0,0,0.00%,1,0,0.00%
obfuscation_scope,NONE,18,10,44.44%,23,0,0.00%
obfuscation_scope,PAYLOAD_HIDING,3,1,66.67%,0,0,0.00%
obfuscation_scope,TARGET_HIDING,4,3,25.00%,1,0,0.00%
target_pattern,BASE64,6,3,50.00%,2,0,0.00%
target_pattern,CONCATENATION,1,1,0.00%,2,0,0.00%
target_pattern,LITERAL_STRING,15,7,53.33%,20,0,0.00%
target_pattern,VARIABLE_REF,3,3,0.00%,1,0,0.00%
