case_id,is_trap,intent_max_allowed,derived_privilege,decision,matched_rules
SR60-SETUP-EXFIL-01-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-SETUP-EXFIL-01-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-SETUP-EXFIL-02-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-SETUP-EXFIL-02-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-SETUP-MIRROR-01-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-01-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-02-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-02-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-03-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-03-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-04-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-04-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-05-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-05-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-06-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-06-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-07-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-07-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-08-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-08-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-SETUP-MIRROR-09-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR120-SETUP-MIRROR-09-V2-BENIGN,False,L2,L3,BLOCK,"ENV_ACCESS,BASE64"
SR60-CONFTEST-PAYLOAD-01-BENIGN,False,L4,L4,ALLOW,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-01-V2-BENIGN,False,L4,L4,ALLOW,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-02-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-02-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-03-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-03-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-04-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-04-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-05-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-05-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-06-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-06-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-07-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-07-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-08-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-08-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-09-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-09-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-10-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-10-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-11-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-11-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-CONFTEST-PAYLOAD-12-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR120-CONFTEST-PAYLOAD-12-V2-TRAP,True,L2,L4,BLOCK,"EXEC_CMD,BASE64"
SR60-MAKEFILE-CONCAT-01-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-01-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-02-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-02-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-03-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
