case_id,is_trap,intent_max_allowed,behaviors_count,derived_privilege,decision,reasons
SR60-SETUP-EXFIL-01-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR120-SETUP-EXFIL-01-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR60-SETUP-EXFIL-02-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR120-SETUP-EXFIL-02-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR60-SETUP-MIRROR-01-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-01-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-02-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-02-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-03-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-03-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-04-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-04-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-05-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-05-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-06-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-06-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-07-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-07-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-08-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-08-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-SETUP-MIRROR-09-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-SETUP-MIRROR-09-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-CONFTEST-PAYLOAD-01-BENIGN,False,L4,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-01-V2-BENIGN,False,L4,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-02-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-02-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-03-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-03-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-04-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-04-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-05-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-05-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-06-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-06-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-07-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-07-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-08-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-08-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-09-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-09-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-10-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-10-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-11-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-11-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CONFTEST-PAYLOAD-12-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR120-CONFTEST-PAYLOAD-12-V2-TRAP,True,L2,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-01-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-01-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-02-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-02-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-03-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-03-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-04-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-04-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-05-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-05-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-06-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-06-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-07-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-07-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-08-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-08-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MAKEFILE-CONCAT-09-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MAKEFILE-CONCAT-09-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-CI-DANGEROUS-01-TRAP,True,L2,2,L4,BLOCK,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW | base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR120-CI-DANGEROUS-01-V2-TRAP,True,L2,2,L4,BLOCK,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW | base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR60-CI-DANGEROUS-02-TRAP,True,L2,2,L4,BLOCK,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW | base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR120-CI-DANGEROUS-02-V2-TRAP,True,L2,2,L4,BLOCK,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW | base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR60-CI-TEST-01-BENIGN,False,L2,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
SR120-CI-TEST-01-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-CI-TEST-02-BENIGN,False,L2,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
SR120-CI-TEST-02-V2-BENIGN,False,L2,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
SR60-CI-TEST-03-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR120-CI-TEST-03-V2-BENIGN,False,L2,0,L0,ALLOW,no behaviors
SR60-PUBLISH-TELEMETRY-01-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR120-PUBLISH-TELEMETRY-01-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
