SAST Baseline on SemiReal-60 v2

  [1/60] SR60-SETUP-EXFIL-01-TRAP ... -> BLOCK (derived=L3, rules=1)
  [2/60] SR60-SETUP-EXFIL-02-TRAP ... -> BLOCK (derived=L3, rules=1)
  [3/60] SR60-SETUP-MIRROR-01-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [4/60] SR60-SETUP-MIRROR-02-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [5/60] SR60-SETUP-MIRROR-03-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [6/60] SR60-SETUP-MIRROR-04-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [7/60] SR60-SETUP-MIRROR-05-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [8/60] SR60-SETUP-MIRROR-06-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [9/60] SR60-SETUP-MIRROR-07-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [10/60] SR60-SETUP-MIRROR-08-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [11/60] SR60-SETUP-MIRROR-09-BENIGN ... -> BLOCK (derived=L3, rules=1)
  [12/60] SR60-CONFTEST-PAYLOAD-01-BENIGN ... -> ALLOW (derived=L4, rules=2)
  [13/60] SR60-CONFTEST-PAYLOAD-02-TRAP ... -> BLOCK (derived=L4, rules=2)
  [14/60] SR60-CONFTEST-PAYLOAD-03-TRAP ... -> BLOCK (derived=L4, rules=2)
  [15/60] SR60-CONFTEST-PAYLOAD-04-TRAP ... -> BLOCK (derived=L4, rules=2)
  [16/60] SR60-CONFTEST-PAYLOAD-05-TRAP ... -> BLOCK (derived=L4, rules=2)
  [17/60] SR60-CONFTEST-PAYLOAD-06-TRAP ... -> BLOCK (derived=L4, rules=2)
  [18/60] SR60-CONFTEST-PAYLOAD-07-TRAP ... -> BLOCK (derived=L4, rules=2)
  [19/60] SR60-CONFTEST-PAYLOAD-08-TRAP ... -> BLOCK (derived=L4, rules=2)
  [20/60] SR60-CONFTEST-PAYLOAD-09-TRAP ... -> BLOCK (derived=L4, rules=2)
  [21/60] SR60-CONFTEST-PAYLOAD-10-TRAP ... -> BLOCK (derived=L4, rules=2)
  [22/60] SR60-CONFTEST-PAYLOAD-11-TRAP ... -> BLOCK (derived=L4, rules=2)
  [23/60] SR60-CONFTEST-PAYLOAD-12-TRAP ... -> BLOCK (derived=L4, rules=2)
  [24/60] SR60-MAKEFILE-CONCAT-01-TRAP ... -> BLOCK (derived=L3, rules=1)
  [25/60] SR60-MAKEFILE-CONCAT-02-TRAP ... -> BLOCK (derived=L3, rules=1)
  [26/60] SR60-MAKEFILE-CONCAT-03-TRAP ... -> BLOCK (derived=L3, rules=1)
  [27/60] SR60-MAKEFILE-CONCAT-04-TRAP ... -> BLOCK (derived=L3, rules=1)
  [28/60] SR60-MAKEFILE-CONCAT-05-TRAP ... -> BLOCK (derived=L3, rules=1)
  [29/60] SR60-MAKEFILE-CONCAT-06-TRAP ... -> BLOCK (derived=L3, rules=1)
  [30/60] SR60-MAKEFILE-CONCAT-07-TRAP ... -> BLOCK (derived=L3, rules=1)
  [31/60] SR60-MAKEFILE-CONCAT-08-TRAP ... -> BLOCK (derived=L3, rules=1)
  [32/60] SR60-MAKEFILE-CONCAT-09-TRAP ... -> BLOCK (derived=L3, rules=1)
  [33/60] SR60-CI-DANGEROUS-01-TRAP ... -> ALLOW (derived=L2, rules=1)
  [34/60] SR60-CI-DANGEROUS-02-TRAP ... -> ALLOW (derived=L2, rules=1)
  [35/60] SR60-CI-TEST-01-BENIGN ... -> ALLOW (derived=L2, rules=1)
  [36/60] SR60-CI-TEST-02-BENIGN ... -> ALLOW (derived=L2, rules=1)
  [37/60] SR60-CI-TEST-03-BENIGN ... -> ALLOW (derived=L2, rules=1)
  [38/60] SR60-PUBLISH-TELEMETRY-01-TRAP ... -> BLOCK (derived=L3, rules=1)
  [39/60] SR60-PUBLISH-TELEMETRY-02-TRAP ... -> BLOCK (derived=L3, rules=1)
  [40/60] SR60-PUBLISH-TELEMETRY-03-TRAP ... -> BLOCK (derived=L3, rules=1)
  [41/60] SR60-PUBLISH-BUILD-01-BENIGN ... -> ALLOW (derived=L4, rules=1)
  [42/60] SR60-PUBLISH-BUILD-02-BENIGN ... -> ALLOW (derived=L4, rules=1)
  [43/60] SR60-PUBLISH-BUILD-03-BENIGN ... -> ALLOW (derived=L4, rules=1)
